Year,AC_mm,AM_mm,AP_mm,MA_mm,MT_mm,PA_mm,RR_mm,TO_mm,Total_Rain_mm
1997,5870.599999999991,33493.40000000013,2461.6999999999994,16402.100000000013,194.6,24574.8,2591.099999999999,10787.700000000004,96376.00000000015
1998,6199.100000000001,33121.600000000166,2275.0,15120.999999999978,14300.999999999993,25480.4,4263.599999999997,8214.4,108976.10000000011
1999,7224.899999999999,39216.40000000003,2707.3,20967.7,13968.100000000017,32186.700000000015,4117.9000000000015,10789.900000000018,131178.90000000008
2000,5988.900000000006,38419.40000000003,2701.8,20664.4,15296.199999999988,36950.70000000001,4256.499999999999,11248.40000000001,135526.30000000005
2001,5969.799999999998,36783.60000000002,2113.8000000000006,19343.99999999998,16781.40000000002,30855.69999999993,2971.300000000001,9796.400000000003,124615.99999999997
2002,6452.999999999997,39153.399999999936,2488.100000000001,18906.29999999996,14992.100000000004,29565.000000000047,3639.700000000001,9663.699999999997,124861.29999999994
2003,6337.299999999998,34358.7000000001,1921.3,18785.099999999977,17968.000000000004,30020.900000000023,3603.5000000000014,9186.100000000008,122180.90000000011
2004,6970.299999999991,29295.700000000164,2701.2999999999993,21798.299999999963,18756.200000000026,33637.20000000007,3927.6,10684.800000000016,127771.40000000023
2005,5940.899999999994,31704.600000000122,2591.4999999999986,18836.599999999984,16727.60000000001,32960.10000000003,4290.0999999999985,10796.49999999999,123847.90000000013
2006,6120.399999999998,35675.20000000012,2820.0000000000014,20835.999999999967,19857.400000000027,35490.999999999905,5115.899999999992,10652.900000000014,136568.80000000005
2007,6419.099999999989,34534.600000000035,2695.2999999999993,16805.39999999999,16726.199999999993,31242.200000000004,4668.799999999989,7811.4000000000015,120903.0
2008,6447.5999999999985,39092.29999999992,2353.3,22459.699999999964,17881.400000000027,37136.39999999996,4198.200000000002,10590.399999999996,140159.29999999987
2009,7113.800000000007,38569.8,2507.9999999999995,25428.79999999997,18549.100000000035,38684.699999999895,2887.200000000001,10769.9,144511.2999999999
2010,5152.600000000004,33571.50000000009,2415.5999999999995,16357.500000000013,17265.0,30713.699999999986,4431.399999999996,9232.000000000004,119139.30000000008
2011,5654.799999999991,38266.700000000084,2557.699999999999,22988.40000000001,18183.59999999998,36217.19999999996,4614.699999999996,11027.700000000012,139510.80000000005
2012,6994.599999999998,40238.599999999984,2153.3,14218.400000000014,17379.90000000001,30836.399999999936,3838.7,8766.200000000008,124426.09999999996
2013,7152.199999999995,40226.59999999982,2852.600000000001,17384.600000000024,20457.79999999996,33690.89999999999,3991.3,11033.10000000001,136789.0999999998
2014,7589.900000000002,37270.6,2528.6999999999985,17711.30000000002,17262.200000000004,34476.900000000016,2602.0,10303.699999999975,129745.30000000002
2015,6758.00000000001,28837.500000000062,2421.7999999999984,13081.100000000013,12559.6,27410.79999999998,2589.300000000001,7554.300000000002,101212.40000000007
2016,4165.300000000001,26884.80000000003,2489.9999999999977,14665.900000000018,12361.700000000012,30398.10000000001,4081.2,8310.400000000001,103357.40000000005
2017,4710.200000000002,29863.000000000047,2307.5,18426.50000000001,11966.00000000001,33647.5,3263.199999999999,8855.199999999995,113039.10000000006
2018,4529.700000000002,29793.200000000084,2629.500000000001,19158.399999999987,12190.59999999998,34697.10000000003,4234.699999999997,10026.400000000003,117259.6000000001
2019,5252.600000000001,31619.700000000186,2927.400000000002,18510.999999999996,10168.799999999994,36037.799999999916,4392.299999999996,7899.499999999995,116809.1000000001
