,Station,Station Name,State
0,82294,ACARAU ,CE
1,82989,AGUA BRANCA ,AL
2,83595,AIMORES ,MG
3,83249,ALAGOINHAS ,BA
4,82353,ALTAMIRA ,PA
5,82970,ALTO PARNAIBA ,MA
6,82590,APODI ,RN
7,83096,ARACAJU ,SE
8,83442,ARACUAI ,MG
9,83368,ARAGARCAS ,GO
10,82659,ARAGUAINA ,TO
11,83579,ARAXA ,MG
12,82890,ARCOVERDE ,PE
13,82696,AREIA ,PB
14,83384,ARINOS ,MG
15,83773,AVARE ,SP
16,83049,AVELAR  P DO ALFERES  ,RJ
17,82460,BACABAL ,MA
18,83980,BAGE ,RS
19,82768,BALSAS ,MA
20,83582,BAMBUI ,MG
21,83689,BARBACENA ,MG
22,82784,BARBALHA ,CE
23,82113,BARCELOS ,AM
24,83179,BARRA ,BA
25,82571,BARRA DO CORDA ,MA
26,83236,BARREIRAS ,BA
27,82191,BELEM ,PA
28,83587,BELO HORIZONTE ,MG
29,82246,BELTERRA ,PA
30,82410,BENJAMIN CONSTANT ,AM
31,83941,BENTO GONCALVES ,RS
32,82024,BOA VISTA ,RR
33,83533,BOM DESPACHO ,MG
34,83919,BOM JESUS ,RS
35,83288,BOM JESUS DA LAPA ,BA
36,82975,BOM JESUS DO PIAUI ,PI
37,83377,BRASILIA ,DF
38,82188,BREVES ,PA
39,83589,C  DO MATO DENTRO ,MG
40,82886,CABROBO ,PE
41,83405,CACERES ,MT
42,83339,CAETITE ,BA
43,83681,CALDAS P  DE CALDAS  ,MG
44,82474,CALDEIRAO ,PI
45,82263,CAMETA ,PA
46,82795,CAMPINA GRANDE ,PB
47,83783,CAMPO MOURAO ,PR
48,83698,CAMPOS ,RJ
49,83714,CAMPOS DO JORDAO ,SP
50,83887,CAMPOS NOVOS ,SC
51,82777,CAMPOS SALES ,CE
52,83270,CANARANA ,MT
53,83398,CANAVIEIRAS ,BA
54,83639,CAPARAO ,MG
55,83514,CAPINOPOLIS ,MG
56,82042,CARACARAI ,RR
57,82976,CARACOL ,PI
58,83592,CARATINGA ,MG
59,83498,CARAVELAS ,BA
60,83485,CARBONITA ,MG
61,83408,CARINHANHA ,BA
62,82765,CAROLINA ,MA
63,83813,CASTRO ,PR
64,83526,CATALAO ,GO
65,83676,CATANDUVA ,SP
66,82476,CAXIAS ,MA
67,83942,CAXIAS DO SUL ,RS
68,82596,CEARA MIRIM ,RN
69,82382,CHAPADINHA ,MA
70,83883,CHAPECO ,SC
71,83192,CIPO ,BA
72,82425,COARI ,AM
73,82326,CODAJAS ,AM
74,82676,COLINAS ,MA
75,82861,CONCEICAO DO ARAGUAIA ,PA
76,83718,CORDEIRO ,RJ
77,83037,CORONEL PACHECO ,MG
78,83286,CORRENTINA ,BA
79,83552,CORUMBA ,MS
80,82583,CRATEUS ,CE
81,83912,CRUZ ALTA ,RS
82,83222,CRUZ DAS ALMAS ,BA
83,82704,CRUZEIRO DO SUL ,AC
84,82693,CRUZETA ,RN
85,83361,CUIABA ,MT
86,83842,CURITIBA ,PR
87,83536,CURVELO ,MG
88,83538,DIAMANTINA ,MG
89,83309,DIAMANTINO ,MT
90,83635,DIVINOPOLIS ,MG
91,82610,EIRUNEPE ,AM
92,83964,ENCRUZILHADA DO SUL ,RS
93,82298,ESPERANTINA ,PI
94,83338,ESPINOSA ,MG
95,83221,FEIRA DE SANTANA ,BA
96,82691,FLORANIA ,RN
97,83581,FLORESTAL ,MG
98,82678,FLORIANO ,PI
99,83897,FLORIANOPOLIS ,SC
100,82212,FONTE BOA ,AM
101,83379,FORMOSA ,GO
102,83334,FORMOSO ,MG
103,82397,FORTALEZA ,CE
104,83630,FRANCA ,SP
105,83574,FRUTAL ,MG
106,82893,GARANHUNS ,PE
107,83264,GLEBA CELESTE ,MT
108,83423,GOIANIA ,GO
109,83374,GOIAS ,GO
110,82487,GUARAMIRANGA ,CE
111,83446,GUARATINGA ,BA
112,83075,GUARULHOS ,SP
113,82067,IAUARETE ,AM
114,83632,IBIRITE ,MG
115,82686,IGUATU ,CE
116,82564,IMPERATRIZ ,MA
117,83872,INDAIAL ,SC
118,83522,IPAMERI ,GO
119,83881,IRAI ,RS
120,83836,IRATI ,PR
121,83182,IRECE ,BA
122,83195,ITABAIANINHA ,SE
123,83244,ITABERABA ,BA
124,82336,ITACOATIARA ,AM
125,82445,ITAITUBA ,PA
126,83488,ITAMARANDIBA ,MG
127,83695,ITAPERUNA ,RJ
128,83295,ITIRUCU  JAGUAQUARA  ,BA
129,83292,ITUACU ,BA
130,83521,ITUIUTABA ,MG
131,83523,ITUMBIARA ,GO
132,83811,IVAI ,PR
133,83704,IVINHEMA ,MS
134,83186,JACOBINA ,BA
135,82493,JAGUARUANA ,CE
136,83395,JANAUBA ,MG
137,83386,JANUARIA ,MG
138,83464,JATAI ,GO
139,82798,JOAO PESSOA ,PB
140,83481,JOAO PINHEIRO ,MG
141,83692,JUIZ DE FORA ,MG
142,83452,JURAMENTO ,MG
143,82723,LABREA ,AM
144,83891,LAGES ,SC
145,83916,LAGOA VERMELHA ,RS
146,83032,LAMBARI ,MG
147,83687,LAVRAS ,MG
148,83242,LENCOIS ,BA
149,83766,LONDRINA ,PR
150,82296,LUZILANDIA LAG DO PIAUI  ,PI
151,82098,MACAPA ,AP
152,82594,MACAU ,RN
153,82994,MACEIO ,AL
154,83683,MACHADO ,MG
155,82331,MANAUS ,AM
156,82533,MANICORE ,AM
157,82562,MARABA ,PA
158,83767,MARINGA ,PR
159,83214,MATUPA ,MT
160,83389,MOCAMBINHO ,MG
161,82181,MONTE ALEGRE ,PA
162,83388,MONTE AZUL ,MG
163,83090,MONTE SANTO ,BA
164,82792,MONTEIRO ,PB
165,83437,MONTES CLAROS ,MG
166,82588,MORADA NOVA ,CE
167,83184,MORRO DO CHAPEU ,BA
168,82598,NATAL ,RN
169,83513,NHUMIRIM  NHECOLANDIA  ,MS
170,83319,NOVA XAV  XAVANTINA  ,MT
171,82178,OBIDOS ,PA
172,82753,OURICURI ,PE
173,83364,PADRE RICARDO REMETTER ,MT
174,83033,PALMAS ,TO
175,82992,PALMEIRA DOS INDIOS ,AL
176,82990,PAO DE ACUCAR ,AL
177,83479,PARACATU ,MG
178,83844,PARANAGUA ,PR
179,83565,PARANAIBA ,MS
180,82240,PARINTINS ,AM
181,82287,PARNAIBA ,PI
182,83914,PASSO FUNDO ,RS
183,82791,PATOS ,PB
184,83531,PATOS DE MINAS ,MG
185,82882,PAULISTANA ,PI
186,82986,PAULO AFONSO ,BA
187,83393,PEDRA AZUL ,MG
188,82863,PEDRO AFONSO ,TO
189,83228,PEIXE ,TO
190,83985,PELOTAS ,RS
191,82983,PETROLINA ,PE
192,82780,PICOS ,PI
193,83483,PIRAPORA ,MG
194,83376,PIRENOPOLIS ,GO
195,82480,PIRIPIRI ,PI
196,83570,POMPEU ,MG
197,83702,PONTA PORA ,MS
198,83967,PORTO ALEGRE ,RS
199,82184,PORTO DE MOZ ,PA
200,82996,PORTO DE PEDRAS ,AL
201,83064,PORTO NACIONAL ,TO
202,83332,POSSE ,GO
203,83358,POXOREO ,MT
204,83716,PRESIDENTE PRUDENTE ,SP
205,83097,PROPRIA ,SE
206,82586,QUIXERAMOBIM ,CE
207,82900,RECIFE  CURADO  ,PE
208,82979,REMANSO ,BA
209,83738,RESENDE ,RJ
210,82915,RIO BRANCO ,AC
211,83743,RIO DE JANEIRO ,RJ
212,83995,RIO GRANDE ,RS
213,83470,RIO VERDE ,GO
214,83373,RONCADOR ,DF
215,83410,RONDONOPOLIS ,MT
216,82106,S G DA CACHOEIRA UAUPES  ,AM
217,82689,SAO GONCALO ,PB
218,83441,SALINAS ,MG
219,83229,SALVADOR  ONDINA  ,BA
220,83936,SANTA MARIA ,RS
221,83997,SANTA VITORIA DO PALMAR ,RS
222,83953,SANTANA DO LIVRAMENTO ,RS
223,83726,SAO CARLOS ,SP
224,82668,SAO FELIX DO XINGU ,PA
225,82879,SAO JOAO DO PIAUI ,PI
226,83920,SAO JOAQUIM ,SC
227,83267,SAO JOSE DO RIO CLARO ,MT
228,83736,SAO LOURENCO ,MG
229,82280,SAO LUIS ,MA
230,83907,SAO LUIZ GONZAGA ,RS
231,83550,SAO MATEUS ,ES
232,83781,SAO PAULO MIR de SANTANA  ,SP
233,83631,SAO S DO PARAISO ,MG
234,83669,SAO SIMAO ,SP
235,83088,SENHOR DO BONFIM ,BA
236,82690,SERIDO  CAICO  ,RN
237,83190,SERRINHA ,BA
238,83586,SETE LAGOAS ,MG
239,82392,SOBRAL ,CE
240,83851,SOROCABA ,SP
