Year,AC_km2,AM_km2,AP_km2,MA_km2,MT_km2,PA_km2,RR_km2,TO_km2,Total_Deforested_km2
1988,620,151,60,245,514,699,290,165,2978
1989,1160,269,190,387,1110,1274,920,895,6582
1990,1710,789,440,398,1512,1763,1070,1475,9701
1991,2090,1769,850,1068,1796,2141,1490,1915,13774
1992,2490,2568,886,2203,6470,5928,1771,2324,27560
1993,2972,2938,886,2575,7092,10212,2011,2657,36858
1994,3454,3308,886,2947,7714,14496,2251,2990,46156
1995,4662,5422,895,4692,18105,22341,2471,3787,70958
1996,5095,6445,895,5753,24648,28476,2685,4107,89119
1997,5453,7034,913,6162,29919,32615,2869,4380,102346
1998,5989,7704,943,7174,36385,38444,3092,4956,119729
1999,6430,8424,943,7297,43348,43555,3312,5172,135881
2000,6977,9036,943,8362,49717,50226,3565,5416,154107
2001,7396,9670,950,9320,57420,55463,3910,5605,172272
2002,8279,10555,950,10405,65312,56214,3994,5817,187163
2003,9357,12113,975,11398,75717,63359,4433,5973,212559
2004,10085,13345,1021,12153,87531,64246,4744,6131,232348
2005,10677,14120,1054,13075,94676,70145,4877,6402,251362
2006,11075,14908,1084,13749,99009,75804,5108,6526,265648
2007,11259,15518,1123,14380,101687,81330,5417,6589,277299
2008,11513,16122,1223,15651,104945,86937,5991,6696,290210
2009,11680,16527,1293,16479,105994,91218,6112,6757,297674
2010,11939,17122,1346,17191,106865,91595,6368,6806,301281
2011,12219,17624,1412,17587,106977,94603,6509,6846,306691
2012,12524,18147,1439,17856,107734,96344,6633,6898,311262
2013,12745,18730,1462,18259,108873,98690,6803,6972,317153
2014,13054,19230,1493,18516,109948,100577,7022,7022,322165
2015,13318,19942,1518,18725,111549,102730,7178,7079,327445
2016,13690,21071,1535,18983,113038,105722,7380,7137,335338
2017,13947,22072,1559,19248,114599,108155,7512,7168,342285
2018,14391,23117,1583,19501,114748,110899,7707,7193,348480
2019,15073,24551,1615,19738,116450,115071,8297,7216,358609
